34200.03988397,5,0,300,309600,-1
34200.03988397,5,0,27,309700,-1
34200.074388695,1,16135101,300,309500,1
34200.201883187,1,16166153,100,309700,-1
34200.201990338,1,16166187,100,309700,-1
34200.203283207,3,16166153,100,309700,-1
34200.204967052,1,16167006,100,309700,-1
34200.211166441,1,16168549,100,309700,-1
34200.317289601,4,16168549,100,309700,-1
34200.317289601,4,16166187,100,309700,-1
34200.317289601,4,16167006,100,309700,-1
34200.317289601,4,16166170,100,309800,-1
34200.317289601,4,15782058,1439,309900,-1
34200.317289601,4,15801048,455,309900,-1
34200.317289601,4,15801569,1894,309900,-1
34200.317289601,1,7326600,5,309900,1
34200.317289601,1,3581980,28,310000,-1
34200.317289601,1,3906511,100,310000,-1
34200.317289601,1,4743470,100,310000,-1
34200.317289601,1,4745892,267,310000,-1
34200.317289601,1,4748779,2111,310000,-1
34200.317289601,1,4749881,1867,310000,-1
34200.317289601,1,4751686,29,310000,-1
34200.317289601,1,4752136,87,310000,-1
34200.317289601,1,4752217,250,310000,-1
34200.317289601,1,4754975,141,310000,-1
34200.317289601,1,4756682,100,310000,-1
34200.317289601,1,4756755,1008,310000,-1
34200.317289601,1,4768364,889,310000,-1
34200.317289601,1,4885371,14,310000,-1
34200.317289601,1,4885495,2700,310000,-1
34200.317289601,1,4886246,120,310000,-1
34200.317289601,1,4886247,700,310000,-1
34200.317289601,1,4886471,46,310000,-1
34200.317289601,1,4886998,200,310000,-1
34200.317289601,1,4887141,170,310000,-1
34200.317289601,1,4887302,100,310000,-1
34200.317289601,1,5980692,200,310000,-1
34200.317289601,1,5980693,50,310000,-1
34200.317289601,1,5980695,499,310000,-1
34200.317289601,1,5980697,154,310000,-1
34200.317289601,1,5980698,250,310000,-1
34200.317289601,1,5980699,100,310000,-1
34200.317289601,1,5980702,100,310000,-1
34200.317289601,1,5980703,200,310000,-1
34200.317289601,1,5980704,130,310000,-1
34200.317289601,1,5980708,150,310000,-1
34200.317289601,1,5980709,202,310000,-1
34200.317289601,1,5980710,1000,310000,-1
34200.317289601,1,5980712,1000,310000,-1
34200.317289601,1,6016695,216,310000,-1
34200.317289601,1,7552907,300,310000,-1
34200.317289601,1,8589322,5500,310000,-1
34200.317289601,1,9940243,2000,310000,-1
34200.317289601,1,10030243,200,310000,-1
34200.317289601,1,10562940,100,310000,-1
34200.317289601,1,12644416,200,310000,-1
34200.317289601,1,12687322,1100,310000,-1
34200.317289601,1,12921845,150,310000,-1
34200.317289601,1,12991178,100,310000,-1
34200.318742165,4,7326600,5,309900,1
34200.318860839,1,16190592,100,309900,-1
34200.318873831,4,1368569,50,309800,1
34200.318963379,1,16190619,100,309900,-1
34200.319035628,4,1368569,195,309800,1
34200.322967801,4,16190592,100,309900,-1
34200.322967801,4,16190619,100,309900,-1
34200.32352956,3,16190770,1200,310000,-1
34200.324427153,1,16192040,1200,310000,-1
34200.325267561,4,3581980,28,310000,-1
34200.325267561,4,3906511,100,310000,-1
34200.325267561,4,4743470,100,310000,-1
34200.325267561,4,4745892,267,310000,-1
34200.325267561,4,4748779,205,310000,-1
34200.330060476,1,16192945,100,309900,-1
34200.330161795,1,16192966,100,309900,-1
34200.336364207,4,1368569,5,309800,1
34200.336364207,4,1370414,95,309800,1
