309900,3788,309500,300
309900,3788,309500,300
309900,3788,309500,600
309700,100,309500,600
309700,200,309500,600
309700,100,309500,600
309700,200,309500,600
309700,300,309500,600
309700,200,309500,600
309700,100,309500,600
309800,100,309500,600
309900,3788,309500,600
309900,2349,309500,600
309900,1894,309500,600
310000,6700,309500,600
310000,6700,309900,5
310000,6728,309900,5
310000,6828,309900,5
310000,6928,309900,5
310000,7195,309900,5
310000,9306,309900,5
310000,11173,309900,5
310000,11202,309900,5
310000,11289,309900,5
310000,11539,309900,5
310000,11680,309900,5
310000,11780,309900,5
310000,12788,309900,5
310000,13677,309900,5
310000,13691,309900,5
310000,16391,309900,5
310000,16511,309900,5
310000,17211,309900,5
310000,17257,309900,5
310000,17457,309900,5
310000,17627,309900,5
310000,17727,309900,5
310000,17927,309900,5
310000,17977,309900,5
310000,18476,309900,5
310000,18630,309900,5
310000,18880,309900,5
310000,18980,309900,5
310000,19080,309900,5
310000,19280,309900,5
310000,19410,309900,5
310000,19560,309900,5
310000,19762,309900,5
310000,20762,309900,5
310000,21762,309900,5
310000,21978,309900,5
310000,22278,309900,5
310000,27778,309900,5
310000,29778,309900,5
310000,29978,309900,5
310000,30078,309900,5
310000,30278,309900,5
310000,31378,309900,5
310000,31528,309900,5
310000,31628,309900,5
310000,31628,309800,605
309900,100,309800,605
309900,100,309800,555
309900,200,309800,555
309900,200,309800,360
309900,100,309800,360
310000,32828,309800,360
310000,31628,309800,360
310000,32828,309800,360
310000,32800,309800,360
310000,32700,309800,360
310000,32600,309800,360
310000,32333,309800,360
310000,32128,309800,360
309900,100,309800,360
309900,200,309800,360
309900,200,309800,355
309900,200,309800,260
309900,100,309800,260
309900,100,309800,360
309900,100,309800,260
309900,28,309800,260
309900,28,309800,360
309900,28,309800,260
309900,28,309800,160
309900,128,309800,160
309900,128,309800,155
309900,128,309800,150
309900,128,309800,100
309900,128,309700,353
309900,28,309700,353
310000,32128,309700,353
310000,32128,309700,453
310000,30928,309700,453
310000,31028,309700,453
310000,30328,309700,453
310000,30256,309700,453
310000,29122,309700,453
310000,28256,309700,453
310000,28289,309700,453
310000,28256,309700,453
309900,33,309700,453
309900,133,309700,453
309900,100,309700,453
310000,28256,309700,453
310000,28256,309800,267
310000,28256,309800,3267
310000,28256,309800,3367
310000,28256,309800,3467
310000,28256,309800,3367
310000,28256,309800,3467
310000,28256,309800,3367
310000,28256,309800,3267
310000,28256,309800,3367
310000,28256,309800,3100
310000,28256,309800,100
310000,28256,309800,3100
310000,27255,309800,3100
310000,27226,309800,3100
310000,27139,309800,3100
310000,26889,309800,3100
310000,26748,309800,3100
310000,26648,309800,3100
310000,26256,309800,3100
310000,26656,309800,3100
310000,26256,309800,3100
310000,25640,309800,3100
310000,24751,309800,3100
310000,24737,309800,3100
310000,23106,309800,3100
310000,23106,309800,100
310000,23106,309900,300
310000,23106,309900,400
310000,23106,309900,409
310000,23106,309900,309
310000,23106,309900,109
310000,23106,309900,100
310000,23106,309900,400
310000,23106,309900,300
310000,23106,309700,353
310000,23106,309700,353
310000,26106,309700,353
310000,26206,309700,353
310000,29206,309700,353
310000,29306,309700,353
310000,26306,309700,353
310000,26206,309700,353
310000,29206,309700,353
310000,29306,309700,353
310000,26306,309700,353
310000,26206,309700,353
310000,25706,309700,353
310000,22706,309700,353
310000,22906,309700,353
310000,22906,309700,353
310000,22806,309700,353
310000,22806,309700,253
310000,22806,309700,105
310000,22806,309700,104
310000,22806,309700,100
310000,22806,309700,53
310000,22806,309600,218
309900,3000,309600,218
309900,3100,309600,218
309900,6100,309600,218
309900,6200,309600,218
309900,6300,309600,218
309900,3300,309600,218
309900,3200,309600,218
309700,3000,309600,218
309700,3100,309600,218
309700,6100,309600,218
309700,6200,309600,218
309700,3200,309600,218
309700,3100,309600,218
309700,3000,309600,218
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309700,3000,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,318
309800,200,309600,218
309800,200,309700,100
309800,200,309600,218
309800,3200,309600,218
309800,3300,309600,218
309700,3000,309600,218
309700,3100,309600,218
309700,3200,309600,218
309700,3100,309600,218
309700,100,309600,218
309800,100,309600,218
309800,100,309600,137
309800,100,309600,137
309800,100,309600,137
309800,300,309600,137
309800,300,309600,137
309800,200,309600,137
309900,200,309600,137
309900,200,309700,3000
309900,200,309700,3100
309900,200,309800,3000
309900,200,309800,3100
309900,100,309800,3100
310000,20309,309800,3100
310000,20309,309800,3200
310000,20309,309800,3100
310000,20309,309900,3000
310000,20309,309900,6000
310000,20309,309900,3000
310000,20309,309800,200
310000,20309,309800,100
310000,20309,309900,100
310000,20309,309800,100
310000,23309,309800,100
310000,23409,309800,100
310000,20409,309800,100
